Year,Unemployment_rate,Below high school,High school,College/associate degree,Bachelor's degree,zipcode
2011,5.9,0,0,0,0,92646
2011,10.4,0,0,0,0,92647
2011,7.4,0,0,0,0,92648
2011,8.1,0,0,0,0,92649
2011,5.2,0,0,0,0,92651
2011,8.4,0,0,0,0,92653
2011,9.4,0,0,0,0,92655
2011,6.3,0,0,0,0,92656
2011,3.8,0,0,0,0,92657
2011,6.1,0,0,0,0,92660
2011,6.3,0,0,0,0,92661
2011,7.6,0,0,0,0,92662
2011,7.7,0,0,0,0,92663
2011,6.8,0,0,0,0,92672
2011,6.4,0,0,0,0,92673
2011,7.5,0,0,0,0,92675
2011,3.7,0,0,0,0,92676
2011,7.5,0,0,0,0,92677
2011,0,0,0,0,0,92678
2011,6.5,0,0,0,0,92679
2011,10.7,0,0,0,0,92683
2011,5.5,0,0,0,0,92688
2011,7.4,0,0,0,0,92691
2011,8.1,0,0,0,0,92692
2011,4.8,0,0,0,0,92694
2011,10.1,0,0,0,0,92701
2011,10.5,0,0,0,0,92703
2011,9.3,0,0,0,0,92704
2011,7.7,0,0,0,0,92705
2011,10.8,0,0,0,0,92706
2011,10,0,0,0,0,92707
2011,7.6,0,0,0,0,92708
2011,8.8,0,0,0,0,92780
2011,6.3,0,0,0,0,92782
2011,12.4,0,0,0,0,92801
2011,8.5,0,0,0,0,92802
2011,11.6,0,0,0,0,92804
2011,13,0,0,0,0,92805
2011,9.9,0,0,0,0,92806
2011,9.1,0,0,0,0,92807
2011,8,0,0,0,0,92808
2011,8.9,0,0,0,0,92821
2011,1.8,0,0,0,0,92823
2011,8.8,0,0,0,0,92831
2011,10.4,0,0,0,0,92832
2011,9.1,0,0,0,0,92833
2011,6.6,0,0,0,0,92835
2011,11.1,0,0,0,0,92840
2011,13,0,0,0,0,92841
2011,11.3,0,0,0,0,92843
2011,10.4,0,0,0,0,92844
2011,6.8,0,0,0,0,92845
2011,8.6,0,0,0,0,92860
2011,6.5,0,0,0,0,92861
2011,7.9,0,0,0,0,92865
2011,9.1,0,0,0,0,92866
2011,8,0,0,0,0,92867
2011,10.6,0,0,0,0,92868
2011,6.4,0,0,0,0,92869
2011,8.9,0,0,0,0,92870
2011,12.8,0,0,0,0,92879
2011,8,0,0,0,0,92880
2011,10,0,0,0,0,92881
2011,11.8,0,0,0,0,92882
2011,9.3,0,0,0,0,92883
2011,5.5,0,0,0,0,92886
2011,6.3,0,0,0,0,92887
2011,10.6,0,0,0,0,93001
2011,7.4,0,0,0,0,93003
2011,8,0,0,0,0,93004
2011,7.8,0,0,0,0,93010
2011,7.4,0,0,0,0,93012
2011,7.6,0,0,0,0,93013
2011,10.6,0,0,0,0,93015
2011,6.2,0,0,0,0,93021
2011,11.6,0,0,0,0,93022
2011,7.9,0,0,0,0,93023
2011,8.9,0,0,0,0,93030
2011,11.5,0,0,0,0,93033
2011,10,0,0,0,0,93035
2011,7,0,0,0,0,93036
2011,8.9,0,0,0,0,93040
2011,9.1,0,0,0,0,93041
2011,0,0,0,0,0,93042
2011,0,0,0,0,0,93043
2011,12.9,0,0,0,0,93060
2011,6.9,0,0,0,0,93063
2011,0,0,0,0,0,93064
2011,6.5,0,0,0,0,93065
2011,7.5,0,0,0,0,93066
2011,13,0,0,0,0,93067
2011,8.6,0,0,0,0,93101
2011,5.4,0,0,0,0,93103
2011,4.6,0,0,0,0,93105
2011,8.2,0,0,0,0,93108
2011,4.7,0,0,0,0,93109
2011,7.2,0,0,0,0,93110
2011,6.7,0,0,0,0,93111
2011,8.9,0,0,0,0,93117
2011,14.2,0,0,0,0,93201
2011,13.8,0,0,0,0,93202
2011,14.3,0,0,0,0,93203
2011,18.2,0,0,0,0,93204
2011,4.6,0,0,0,0,93205
2011,6.5,0,0,0,0,93206
2011,9.1,0,0,0,0,93207
2011,0,0,0,0,0,93208
2011,7.2,0,0,0,0,93210
2011,17.2,0,0,0,0,93212
2011,15.4,0,0,0,0,93215
2011,10.6,0,0,0,0,93218
2011,19.3,0,0,0,0,93219
2011,0,0,0,0,0,93220
2011,13.8,0,0,0,0,93221
2011,24,0,0,0,0,93222
2011,19.2,0,0,0,0,93223
2011,12.1,0,0,0,0,93224
2011,7.8,0,0,0,0,93225
2011,8.2,0,0,0,0,93226
2011,11.7,0,0,0,0,93230
2011,13.5,0,0,0,0,93234
2011,26.5,0,0,0,0,93235
2011,3.3,0,0,0,0,93238
2011,14.8,0,0,0,0,93239
2011,7.2,0,0,0,0,93240
2011,12.2,0,0,0,0,93241
2011,10,0,0,0,0,93242
2011,10.4,0,0,0,0,93243
2011,14.6,0,0,0,0,93244
2011,12,0,0,0,0,93245
2011,19.1,0,0,0,0,93247
2011,7.9,0,0,0,0,93249
2011,17.9,0,0,0,0,93250
2011,14.9,0,0,0,0,93251
2011,20.3,0,0,0,0,93252
2011,5,0,0,0,0,93254
2011,7.9,0,0,0,0,93255
2011,22.4,0,0,0,0,93256
2011,15.1,0,0,0,0,93257
2011,16.4,0,0,0,0,93258
2011,15,0,0,0,0,93260
2011,23.1,0,0,0,0,93261
2011,0,0,0,0,0,93262
2011,12.2,0,0,0,0,93263
